feature,value,n_contexts,pearson_r,pearson_p,spearman_r,spearman_p
Animacy,Inan,123,0.2804,0.001683,0.3861,1e-05
Animacy,Anim,122,0.087,0.33849,0.3056,0.000587
Aspect,Imp,76,0.4167,0.000164,0.6062,0.0
Aspect,Perf,77,0.3064,0.006716,0.3826,0.000594
Case,Dat,115,0.5884,0.0,0.2281,0.008288
Case,Loc,45,0.4403,0.0,0.3661,1.5e-05
Case,Acc,129,0.4142,1e-06,0.477,0.0
Case,Nom,133,0.3801,6e-06,0.3545,2.8e-05
Case,Gen,131,0.2408,0.005235,0.2838,0.000933
Case,Ins,126,0.1687,0.052199,0.2308,0.007514
Gender,Fem,137,0.3443,3.8e-05,0.4044,1e-06
Gender,Masc,137,0.3285,8.9e-05,0.3479,3.1e-05
Gender,Neut,137,0.0636,0.460115,0.2145,0.011828
Number,Sing,141,0.2348,0.005061,0.2639,0.001566
Number,Plur,141,0.189,0.024835,0.2572,0.002081
Tense,Fut,38,0.5325,7e-06,0.1318,0.303277
Tense,Past,63,0.3667,0.003117,0.3708,0.002776
Tense,Pres,60,0.3581,0.00396,0.4791,7.1e-05
VerbForm,Inf,69,0.597,0.0,0.6039,0.0
VerbForm,Fin,76,0.3942,0.000389,0.5689,0.0
VerbForm,Part,72,0.0394,0.733947,0.1838,0.109522
VerbForm,Conv,35,-0.0088,0.939743,0.203,0.076636
